All,Year,Sex,Age,Sample,Savg,Lavg,Mavg,Sfa,Lfa,Mfa,Lratio,Sratio,Cayo,TOD
All,2018,M,14,940,23.86715984,57.65139643,129.2935003,0.113215346,0.273472957,0.613311698,0.44589555,0.127669492,DD04108,15:08:00
All,2019,F,10,92,160.8559265,448.8078206,428.1405843,0.154996392,0.432458997,0.412544611,1.04827208,0.1834269,DD03209,15:12:00
All,2019,F,-1,79,165.4699097,724.7045085,622.032491,0.109422797,0.479236343,0.41134086,1.16505893,0.122867278,DD08898,15:13:00
All,2018,F,11,750,10.23299885,37.81863658,50.15351995,0.104200221,0.385098282,0.510701498,0.754057474,0.116320883,DD02022,15:13:00
All,2018,F,11,825,32.3011996,135.1402079,141.6037852,0.10451934,0.437282997,0.458197663,0.954354488,0.116718702,DD02600,15:14:00
All,2018,F,6,680,33.37666667,106.03,119.52,0.128903937,0.409498185,0.461597878,0.887131861,0.147979015,DD00955,15:19:00
All,2018,M,8,745,16.11976751,48.05311839,80.61194611,0.111336024,0.331893319,0.556770657,0.596104184,0.125284727,DD03832,15:27:00
All,2019,F,9,36,104.1554743,442.1027222,275.1715393,0.126797789,0.538211247,0.334990964,1.606644071,0.14521011,DD05543,15:37:00
All,2019,M,4,17,113.3988419,437.0441386,321.342336,0.130076568,0.50132083,0.368602602,1.360057763,0.149526456,DD01592,15:38:00
All,2019,M,5,57,40.10069275,95.99830373,134.1646729,0.148376187,0.355202399,0.496421414,0.715525941,0.174227382,DD05045,15:40:00
All,2019,F,15,80,208.4198049,545.3649292,503.9497986,0.165710489,0.433608933,0.400680577,1.082181064,0.198624682,DD05421,15:45:00
All,2019,M,-1,93,88.00484721,230.4501292,396.890096,0.123024329,0.322152396,0.554823275,0.580639657,0.140282488,DD08741,15:52:00
All,2018,M,6,590,21.83124161,100.7363103,87.34609985,0.104001057,0.47989404,0.416104904,1.153300611,0.116072745,DD00962,15:55:00
All,2018,M,7,870,48.35082372,127.6627909,103.794337,0.172800035,0.456251476,0.370948489,1.229959116,0.208897537,DD02096,16:00:00
All,2018,F,5,690,29.00666667,103.8366667,130.32,0.110223055,0.394571179,0.495205766,0.79678228,0.123877176,DD02156,16:05:00
All,2018,M,9,725,3.52,13.61666667,20.73333333,0.092949564,0.359563419,0.547487017,0.656752412,0.102474527,DD03219,16:05:00
All,2019,F,5,37,107.1578573,345.1247965,394.787028,0.126504182,0.407433773,0.466062045,0.874205007,0.144825172,DD02174,16:10:00
All,2019,F,4,94,100.2117589,289.6915283,318.5016174,0.141461131,0.408934956,0.449603913,0.909544921,0.164769629,DD01604,16:24:00
All,2018,F,14,695,34.93333333,116.6633333,118.58,0.129298114,0.431803881,0.438898005,0.98383651,0.148498718,DD02391,16:35:00
All,2018,F,6,895,69.12474187,274.8069407,270.9494019,0.112419692,0.446926971,0.440653337,1.014237119,0.126658614,DD05031,16:45:00
All,2018,M,12,885,102.7399699,311.1795654,407.5310771,0.12507139,0.378817132,0.496111478,0.763572603,0.142950395,DD04903,17:21:00
